Time (ms),Rumble Motor (V)
-10.04918478,0.13037510
-10.02870478,0.13037510
-10.00822478,0.13037510
-9.98774478,0.13037510
-9.96726478,0.13037510
-9.94678478,0.13037510
-9.92630479,0.13037510
-9.90582479,0.13037510
-9.88534479,0.13037510
-9.86486479,0.13037510
-9.84438479,0.13037510
-9.82390479,0.14813690
-9.80342479,0.13037510
-9.78294479,0.14813690
-9.76246479,0.14813690
-9.74198479,0.13037510
-9.72150479,0.13037510
-9.70102479,0.13037510
-9.68054479,0.13037510
-9.66006479,0.13037510
-9.63958479,0.14813690
-9.61910479,0.14813690
-9.59862479,0.14813690
-9.57814479,0.13037510
-9.55766479,0.13037510
-9.53718479,0.14813690
-9.51670479,0.14813690
-9.49622479,0.13037510
-9.47574479,0.13037510
-9.45526479,0.14813690
-9.43478479,0.14813690
-9.41430479,0.14813690
-9.39382479,0.14813690
-9.37334479,0.14813690
-9.35286479,0.13037510
-9.33238479,0.13037510
-9.31190479,0.14813690
-9.29142479,0.13037510
-9.27094479,0.14813690
-9.25046479,0.14813690
-9.22998479,0.14813690
-9.20950479,0.14813690
-9.18902479,0.14813690
-9.16854479,0.14813690
-9.14806479,0.14813690
-9.12758479,0.14813690
-9.10710479,0.14813690
-9.08662479,0.14813690
-9.06614479,0.14813690
-9.04566479,0.14813690
-9.02518479,0.14813690
-9.00470479,0.13037510
-8.98422479,0.14813690
-8.96374479,0.14813690
-8.94326479,0.14813690
-8.92278479,0.14813690
-8.90230479,0.14813690
-8.88182479,0.14813690
-8.86134479,0.13037510
-8.84086479,0.14813690
-8.82038479,0.14813690
-8.79990479,0.14813690
-8.77942479,0.14813690
-8.75894479,0.14813690
-8.73846479,0.14813690
-8.71798479,0.14813690
-8.69750479,0.14813690
-8.67702479,0.14813690
-8.65654479,0.14813690
-8.63606479,0.14813690
-8.61558479,0.14813690
-8.59510479,0.14813690
-8.57462479,0.14813690
-8.55414479,0.14813690
-8.53366479,0.14813690
-8.51318479,0.14813690
-8.49270479,0.14813690
-8.47222479,0.14813690
-8.45174479,0.14813690
-8.43126479,0.14813690
-8.41078479,0.14813690
-8.39030479,0.14813690
-8.36982479,0.14813690
-8.34934479,0.14813690
-8.32886479,0.14813690
-8.30838479,0.14813690
-8.28790479,0.14813690
-8.26742480,0.14813690
-8.24694480,0.14813690
-8.22646480,0.14813690
-8.20598480,0.14813690
-8.18550480,0.14813690
-8.16502480,0.14813690
-8.14454480,0.14813690
-8.12406480,0.14813690
-8.10358480,0.14813690
-8.08310480,0.14813690
-8.06262480,0.14813690
-8.04214480,0.14813690
-8.02166480,0.14813690
-8.00118480,0.14813690
-7.98070480,0.14813690
-7.96022480,0.14813690
-7.93974480,0.14813690
-7.91926480,0.14813690
-7.89878480,0.14813690
-7.87830480,0.14813690
-7.85782480,0.14813690
-7.83734480,0.14813690
-7.81686480,0.14813690
-7.79638480,0.14813690
-7.77590480,0.14813690
-7.75542480,0.14813690
-7.73494480,0.14813690
-7.71446480,0.14813690
-7.69398480,0.14813690
-7.67350480,0.14813690
-7.65302480,0.14813690
-7.63254480,0.14813690
-7.61206480,0.14813690
-7.59158480,0.14813690
-7.57110480,0.14813690
-7.55062480,0.14813690
-7.53014480,0.14813690
-7.50966480,0.14813690
-7.48918480,0.14813690
-7.46870480,0.14813690
-7.44822480,0.14813690
-7.42774480,0.14813690
-7.40726480,0.14813690
-7.38678480,0.14813690
-7.36630480,0.14813690
-7.34582480,0.14813690
-7.32534480,0.14813690
-7.30486480,0.14813690
-7.28438480,0.14813690
-7.26390480,0.14813690
-7.24342480,0.14813690
-7.22294480,0.14813690
-7.20246480,0.14813690
-7.18198480,0.14813690
-7.16150480,0.14813690
-7.14102480,0.14813690
-7.12054480,0.14813690
-7.10006480,0.14813690
-7.07958480,0.14813690
-7.05910480,0.14813690
-7.03862480,0.14813690
-7.01814480,0.14813690
-6.99766480,0.14813690
-6.97718480,0.14813690
-6.95670480,0.14813690
-6.93622480,0.14813690
-6.91574480,0.14813690
-6.89526480,0.14813690
-6.87478480,0.14813690
-6.85430480,0.14813690
-6.83382480,0.14813690
-6.81334480,0.14813690
-6.79286480,0.14813690
-6.77238480,0.14813690
-6.75190480,0.14813690
-6.73142480,0.14813690
-6.71094480,0.14813690
-6.69046480,0.14813690
-6.66998480,0.14813690
-6.64950480,0.14813690
-6.62902481,0.14813690
-6.60854481,0.14813690
-6.58806481,0.14813690
-6.56758481,0.14813690
-6.54710481,0.14813690
-6.52662481,0.14813690
-6.50614481,0.14813690
-6.48566481,0.14813690
-6.46518481,0.14813690
-6.44470481,0.14813690
-6.42422481,0.14813690
-6.40374481,0.14813690
-6.38326481,0.13037510
-6.36278481,0.14813690
-6.34230481,0.14813690
-6.32182481,0.14813690
-6.30134481,0.14813690
-6.28086481,0.14813690
-6.26038481,0.14813690
-6.23990481,0.14813690
-6.21942481,0.14813690
-6.19894481,0.13037510
-6.17846481,0.13037510
-6.15798481,0.14813690
-6.13750481,0.14813690
-6.11702481,0.14813690
-6.09654481,0.14813690
-6.07606481,0.14813690
-6.05558481,0.14813690
-6.03510481,0.13037510
-6.01462481,0.14813690
-5.99414481,0.14813690
-5.97366481,0.14813690
-5.95318481,0.14813690
-5.93270481,0.14813690
-5.91222481,0.13037510
-5.89174481,0.14813690
-5.87126481,0.13037510
-5.85078481,0.14813690
-5.83030481,0.13037510
-5.80982481,0.13037510
-5.78934481,0.14813690
-5.76886481,0.14813690
-5.74838481,0.13037510
-5.72790481,0.13037510
-5.70742481,0.13037510
-5.68694481,0.14813690
-5.66646481,0.14813690
-5.64598481,0.14813690
-5.62550481,0.13037510
-5.60502481,0.13037510
-5.58454481,0.13037510
-5.56406481,0.13037510
-5.54358481,0.13037510
-5.52310481,0.13037510
-5.50262481,0.13037510
-5.48214481,0.13037510
-5.46166481,0.14813690
-5.44118481,0.13037510
-5.42070481,0.13037510
-5.40022481,0.13037510
-5.37974481,0.14813690
-5.35926481,0.13037510
-5.33878481,0.13037510
-5.31830481,0.13037510
-5.29782481,0.13037510
-5.27734481,0.13037510
-5.25686481,0.13037510
-5.23638481,0.13037510
-5.21590481,0.13037510
-5.19542481,0.13037510
-5.17494481,0.13037510
-5.15446481,0.13037510
-5.13398481,0.13037510
-5.11350481,0.13037510
-5.09302481,0.13037510
-5.07254481,0.13037510
-5.05206481,0.13037510
-5.03158481,0.13037510
-5.01110481,0.13037510
-4.99062482,0.13037510
-4.97014482,0.13037510
-4.94966482,0.13037510
-4.92918482,0.13037510
-4.90870482,0.13037510
-4.88822482,0.13037510
-4.86774482,0.13037510
-4.84726482,0.13037510
-4.82678482,0.13037510
-4.80630482,0.11261330
-4.78582482,0.13037510
-4.76534482,0.11261330
-4.74486482,0.13037510
-4.72438482,0.13037510
-4.70390482,0.14813690
-4.68342482,0.13037510
-4.66294482,0.13037510
-4.64246482,0.13037510
-4.62198482,0.13037510
-4.60150482,0.14813690
-4.58102482,0.14813690
-4.56054482,0.14813690
-4.54006482,0.14813690
-4.51958482,0.14813690
-4.49910482,0.13037510
-4.47862482,0.14813690
-4.45814482,0.14813690
-4.43766482,0.14813690
-4.41718482,0.14813690
-4.39670482,0.14813690
-4.37622482,0.13037510
-4.35574482,0.14813690
-4.33526482,0.14813690
-4.31478482,0.13037510
-4.29430482,0.13037510
-4.27382482,0.13037510
-4.25334482,0.13037510
-4.23286482,0.14813690
-4.21238482,0.13037510
-4.19190482,0.13037510
-4.17142482,0.14813690
-4.15094482,0.14813690
-4.13046482,0.14813690
-4.10998482,0.13037510
-4.08950482,0.13037510
-4.06902482,0.13037510
-4.04854482,0.14813690
-4.02806482,0.13037510
-4.00758482,0.14813690
-3.98710482,0.14813690
-3.96662482,0.13037510
-3.94614482,0.14813690
-3.92566482,0.14813690
-3.90518482,0.13037510
-3.88470482,0.14813690
-3.86422482,0.13037510
-3.84374482,0.14813690
-3.82326482,0.14813690
-3.80278482,0.13037510
-3.78230482,0.13037510
-3.76182482,0.13037510
-3.74134482,0.14813690
-3.72086482,0.13037510
-3.70038482,0.14813690
-3.67990482,0.14813690
-3.65942482,0.14813690
-3.63894482,0.14813690
-3.61846482,0.13037510
-3.59798482,0.13037510
-3.57750482,0.13037510
-3.55702482,0.14813690
-3.53654482,0.13037510
-3.51606482,0.13037510
-3.49558482,0.13037510
-3.47510482,0.13037510
-3.45462482,0.13037510
-3.43414482,0.13037510
-3.41366482,0.13037510
-3.39318482,0.14813690
-3.37270482,0.14813690
-3.35222482,0.13037510
-3.33174483,0.13037510
-3.31126483,0.13037510
-3.29078483,0.13037510
-3.27030483,0.13037510
-3.24982483,0.13037510
-3.22934483,0.13037510
-3.20886483,0.11261330
-3.18838483,0.13037510
-3.16790483,0.13037510
-3.14742483,0.13037510
-3.12694483,0.13037510
-3.10646483,0.11261330
-3.08598483,0.11261330
-3.06550483,0.11261330
-3.04502483,0.13037510
-3.02454483,0.11261330
-3.00406483,0.13037510
-2.98358483,0.13037510
-2.96310483,0.13037510
-2.94262483,0.13037510
-2.92214483,0.11261330
-2.90166483,0.13037510
-2.88118483,0.13037510
-2.86070483,0.13037510
-2.84022483,0.13037510
-2.81974483,0.11261330
-2.79926483,0.13037510
-2.77878483,0.13037510
-2.75830483,0.13037510
-2.73782483,0.13037510
-2.71734483,0.13037510
-2.69686483,0.13037510
-2.67638483,0.13037510
-2.65590483,0.13037510
-2.63542483,0.13037510
-2.61494483,0.13037510
-2.59446483,0.11261330
-2.57398483,0.13037510
-2.55350483,0.13037510
-2.53302483,0.11261330
-2.51254483,0.13037510
-2.49206483,0.13037510
-2.47158483,0.13037510
-2.45110483,0.11261330
-2.43062483,0.13037510
-2.41014483,0.13037510
-2.38966483,0.13037510
-2.36918483,0.13037510
-2.34870483,0.13037510
-2.32822483,0.11261330
-2.30774483,0.13037510
-2.28726483,0.13037510
-2.26678483,0.13037510
-2.24630483,0.13037510
-2.22582483,0.11261330
-2.20534483,0.11261330
-2.18486483,0.13037510
-2.16438483,0.13037510
-2.14390483,0.13037510
-2.12342483,0.13037510
-2.10294483,0.13037510
-2.08246483,0.13037510
-2.06198483,0.11261330
-2.04150483,0.13037510
-2.02102483,0.11261330
-2.00054483,0.13037510
-1.98006483,0.13037510
-1.95958483,0.13037510
-1.93910483,0.13037510
-1.91862483,0.13037510
-1.89814483,0.13037510
-1.87766483,0.13037510
-1.85718483,0.13037510
-1.83670483,0.11261330
-1.81622483,0.11261330
-1.79574483,0.13037510
-1.77526483,0.13037510
-1.75478483,0.13037510
-1.73430483,0.13037510
-1.71382483,0.13037510
-1.69334484,0.11261330
-1.67286484,0.13037510
-1.65238484,0.11261330
-1.63190484,0.13037510
-1.61142484,0.13037510
-1.59094484,0.13037510
-1.57046484,0.13037510
-1.54998484,0.13037510
-1.52950484,0.11261330
-1.50902484,0.13037510
-1.48854484,0.13037510
-1.46806484,0.13037510
-1.44758484,0.13037510
-1.42710484,0.11261330
-1.40662484,0.13037510
-1.38614484,0.11261330
-1.36566484,0.11261330
-1.34518484,0.13037510
-1.32470484,0.13037510
-1.30422484,0.11261330
-1.28374484,0.11261330
-1.26326484,0.11261330
-1.24278484,0.13037510
-1.22230484,0.11261330
-1.20182484,0.13037510
-1.18134484,0.13037510
-1.16086484,0.13037510
-1.14038484,0.11261330
-1.11990484,0.13037510
-1.09942484,0.13037510
-1.07894484,0.13037510
-1.05846484,0.13037510
-1.03798484,0.13037510
-1.01750484,0.13037510
-0.99702484,0.11261330
-0.97654484,0.11261330
-0.95606484,0.11261330
-0.93558484,0.11261330
-0.91510484,0.11261330
-0.89462484,0.11261330
-0.87414484,0.13037510
-0.85366484,0.11261330
-0.83318484,0.13037510
-0.81270484,0.11261330
-0.79222484,0.13037510
-0.77174484,0.11261330
-0.75126484,0.13037510
-0.73078484,0.11261330
-0.71030484,0.13037510
-0.68982484,0.13037510
-0.66934484,0.13037510
-0.64886484,0.11261330
-0.62838484,0.11261330
-0.60790484,0.11261330
-0.58742484,0.11261330
-0.56694484,0.13037510
-0.54646484,0.11261330
-0.52598484,0.11261330
-0.50550484,0.11261330
-0.48502484,0.11261330
-0.46454484,0.13037510
-0.44406484,0.13037510
-0.42358484,0.11261330
-0.40310484,0.11261330
-0.38262484,0.11261330
-0.36214484,0.11261330
-0.34166484,0.11261330
-0.32118484,0.11261330
-0.30070484,0.11261330
-0.28022484,0.11261330
-0.25974484,0.11261330
-0.23926484,0.11261330
-0.21878484,0.11261330
-0.19830484,0.11261330
-0.17782484,0.11261330
-0.15734484,0.11261330
-0.13686484,0.11261330
-0.11638484,0.11261330
-0.09590484,0.11261330
-0.07542484,0.13037510
-0.05494485,0.11261330
-0.03446485,0.11261330
-0.01398485,0.11261330
0.00649515,1.37424900
0.02697515,1.32090200
0.04745515,1.28537900
0.06793515,1.30314000
0.08841515,1.26761700
0.10889515,1.23209300
0.12937515,1.23209300
0.14985515,1.26761700
0.17033515,1.24985500
0.19081515,1.28537900
0.21129515,1.28537900
0.23177515,1.24985500
