Time (ms),Rumble Motor (V)
-10.04761644,0.25476850
-10.02713644,0.27253030
-10.00665644,0.25476850
-9.98617644,0.27253030
-9.96569644,0.25476850
-9.94521644,0.25476850
-9.92473644,0.27253030
-9.90425644,0.27253030
-9.88377644,0.27253030
-9.86329644,0.25476850
-9.84281644,0.27253030
-9.82233644,0.25476850
-9.80185644,0.27253030
-9.78137644,0.27253030
-9.76089644,0.25476850
-9.74041644,0.25476850
-9.71993644,0.25476850
-9.69945644,0.25476850
-9.67897644,0.25476850
-9.65849644,0.25476850
-9.63801644,0.25476850
-9.61753644,0.25476850
-9.59705644,0.25476850
-9.57657644,0.25476850
-9.55609644,0.25476850
-9.53561644,0.25476850
-9.51513644,0.27253030
-9.49465644,0.25476850
-9.47417644,0.25476850
-9.45369644,0.25476850
-9.43321644,0.25476850
-9.41273644,0.27253030
-9.39225644,0.25476850
-9.37177644,0.25476850
-9.35129644,0.25476850
-9.33081644,0.25476850
-9.31033644,0.25476850
-9.28985644,0.25476850
-9.26937644,0.25476850
-9.24889644,0.25476850
-9.22841644,0.25476850
-9.20793644,0.25476850
-9.18745644,0.25476850
-9.16697644,0.25476850
-9.14649644,0.25476850
-9.12601644,0.23700680
-9.10553644,0.23700680
-9.08505644,0.25476850
-9.06457644,0.23700680
-9.04409644,0.25476850
-9.02361644,0.23700680
-9.00313644,0.23700680
-8.98265644,0.23700680
-8.96217644,0.25476850
-8.94169644,0.25476850
-8.92121644,0.23700680
-8.90073644,0.21924500
-8.88025644,0.23700680
-8.85977644,0.23700680
-8.83929644,0.23700680
-8.81881644,0.21924500
-8.79833644,0.23700680
-8.77785644,0.23700680
-8.75737644,0.23700680
-8.73689645,0.23700680
-8.71641645,0.23700680
-8.69593645,0.23700680
-8.67545645,0.25476850
-8.65497645,0.27253030
-8.63449645,0.27253030
-8.61401645,0.27253030
-8.59353645,0.25476850
-8.57305645,0.27253030
-8.55257645,0.27253030
-8.53209645,0.27253030
-8.51161645,0.27253030
-8.49113645,0.25476850
-8.47065645,0.27253030
-8.45017645,0.25476850
-8.42969645,0.25476850
-8.40921645,0.27253030
-8.38873645,0.27253030
-8.36825645,0.27253030
-8.34777645,0.25476850
-8.32729645,0.25476850
-8.30681645,0.27253030
-8.28633645,0.27253030
-8.26585645,0.25476850
-8.24537645,0.25476850
-8.22489645,0.27253030
-8.20441645,0.25476850
-8.18393645,0.25476850
-8.16345645,0.25476850
-8.14297645,0.25476850
-8.12249645,0.27253030
-8.10201645,0.25476850
-8.08153645,0.27253030
-8.06105645,0.27253030
-8.04057645,0.27253030
-8.02009645,0.25476850
-7.99961645,0.27253030
-7.97913645,0.25476850
-7.95865645,0.25476850
-7.93817645,0.23700680
-7.91769645,0.23700680
-7.89721645,0.23700680
-7.87673645,0.23700680
-7.85625645,0.25476850
-7.83577645,0.23700680
-7.81529645,0.23700680
-7.79481645,0.23700680
-7.77433645,0.25476850
-7.75385645,0.23700680
-7.73337645,0.25476850
-7.71289645,0.23700680
-7.69241645,0.25476850
-7.67193645,0.25476850
-7.65145645,0.25476850
-7.63097645,0.25476850
-7.61049645,0.25476850
-7.59001645,0.25476850
-7.56953645,0.25476850
-7.54905645,0.25476850
-7.52857645,0.25476850
-7.50809645,0.25476850
-7.48761645,0.25476850
-7.46713645,0.25476850
-7.44665645,0.25476850
-7.42617645,0.25476850
-7.40569645,0.25476850
-7.38521645,0.25476850
-7.36473645,0.25476850
-7.34425645,0.25476850
-7.32377645,0.25476850
-7.30329645,0.27253030
-7.28281645,0.25476850
-7.26233645,0.25476850
-7.24185645,0.25476850
-7.22137645,0.25476850
-7.20089645,0.27253030
-7.18041645,0.25476850
-7.15993645,0.25476850
-7.13945645,0.25476850
-7.11897645,0.27253030
-7.09849646,0.27253030
-7.07801646,0.25476850
-7.05753646,0.27253030
-7.03705646,0.27253030
-7.01657646,0.25476850
-6.99609646,0.27253030
-6.97561646,0.27253030
-6.95513646,0.27253030
-6.93465646,0.25476850
-6.91417646,0.25476850
-6.89369646,0.25476850
-6.87321646,0.25476850
-6.85273646,0.25476850
-6.83225646,0.25476850
-6.81177646,0.27253030
-6.79129646,0.25476850
-6.77081646,0.27253030
-6.75033646,0.25476850
-6.72985646,0.27253030
-6.70937646,0.25476850
-6.68889646,0.25476850
-6.66841646,0.25476850
-6.64793646,0.25476850
-6.62745646,0.25476850
-6.60697646,0.27253030
-6.58649646,0.25476850
-6.56601646,0.25476850
-6.54553646,0.27253030
-6.52505646,0.25476850
-6.50457646,0.25476850
-6.48409646,0.25476850
-6.46361646,0.27253030
-6.44313646,0.27253030
-6.42265646,0.27253030
-6.40217646,0.27253030
-6.38169646,0.25476850
-6.36121646,0.27253030
-6.34073646,0.25476850
-6.32025646,0.25476850
-6.29977646,0.25476850
-6.27929646,0.27253030
-6.25881646,0.27253030
-6.23833646,0.27253030
-6.21785646,0.25476850
-6.19737646,0.25476850
-6.17689646,0.27253030
-6.15641646,0.27253030
-6.13593646,0.27253030
-6.11545646,0.25476850
-6.09497646,0.25476850
-6.07449646,0.25476850
-6.05401646,0.25476850
-6.03353646,0.25476850
-6.01305646,0.25476850
-5.99257646,0.27253030
-5.97209646,0.25476850
-5.95161646,0.25476850
-5.93113646,0.25476850
-5.91065646,0.25476850
-5.89017646,0.25476850
-5.86969646,0.25476850
-5.84921646,0.25476850
-5.82873646,0.25476850
-5.80825646,0.25476850
-5.78777646,0.25476850
-5.76729646,0.25476850
-5.74681646,0.25476850
-5.72633646,0.25476850
-5.70585646,0.25476850
-5.68537646,0.25476850
-5.66489646,0.25476850
-5.64441646,0.25476850
-5.62393646,0.25476850
-5.60345646,0.25476850
-5.58297646,0.23700680
-5.56249646,0.25476850
-5.54201646,0.23700680
-5.52153646,0.25476850
-5.50105646,0.23700680
-5.48057646,0.25476850
-5.46009646,0.25476850
-5.43961647,0.25476850
-5.41913647,0.25476850
-5.39865647,0.25476850
-5.37817647,0.23700680
-5.35769647,0.23700680
-5.33721647,0.25476850
-5.31673647,0.23700680
-5.29625647,0.23700680
-5.27577647,0.23700680
-5.25529647,0.23700680
-5.23481647,0.23700680
-5.21433647,0.23700680
-5.19385647,0.23700680
-5.17337647,0.23700680
-5.15289647,0.23700680
-5.13241647,0.23700680
-5.11193647,0.21924500
-5.09145647,0.23700680
-5.07097647,0.21924500
-5.05049647,0.23700680
-5.03001647,0.21924500
-5.00953647,0.21924500
-4.98905647,0.23700680
-4.96857647,0.21924500
-4.94809647,0.21924500
-4.92761647,0.21924500
-4.90713647,0.21924500
-4.88665647,0.21924500
-4.86617647,0.21924500
-4.84569647,0.21924500
-4.82521647,0.21924500
-4.80473647,0.23700680
-4.78425647,0.25476850
-4.76377647,0.25476850
-4.74329647,0.25476850
-4.72281647,0.25476850
-4.70233647,0.23700680
-4.68185647,0.25476850
-4.66137647,0.23700680
-4.64089647,0.23700680
-4.62041647,0.23700680
-4.59993647,0.25476850
-4.57945647,0.25476850
-4.55897647,0.25476850
-4.53849647,0.25476850
-4.51801647,0.25476850
-4.49753647,0.25476850
-4.47705647,0.25476850
-4.45657647,0.23700680
-4.43609647,0.25476850
-4.41561647,0.25476850
-4.39513647,0.25476850
-4.37465647,0.23700680
-4.35417647,0.25476850
-4.33369647,0.25476850
-4.31321647,0.23700680
-4.29273647,0.25476850
-4.27225647,0.25476850
-4.25177647,0.23700680
-4.23129647,0.25476850
-4.21081647,0.23700680
-4.19033647,0.25476850
-4.16985647,0.23700680
-4.14937647,0.25476850
-4.12889647,0.25476850
-4.10841647,0.23700680
-4.08793647,0.23700680
-4.06745647,0.25476850
-4.04697647,0.25476850
-4.02649647,0.23700680
-4.00601647,0.21924500
-3.98553647,0.21924500
-3.96505647,0.21924500
-3.94457647,0.21924500
-3.92409647,0.21924500
-3.90361647,0.21924500
-3.88313647,0.21924500
-3.86265647,0.21924500
-3.84217647,0.21924500
-3.82169647,0.21924500
-3.80121648,0.21924500
-3.78073648,0.21924500
-3.76025648,0.21924500
-3.73977648,0.21924500
-3.71929648,0.23700680
-3.69881648,0.21924500
-3.67833648,0.21924500
-3.65785648,0.21924500
-3.63737648,0.21924500
-3.61689648,0.21924500
-3.59641648,0.21924500
-3.57593648,0.21924500
-3.55545648,0.21924500
-3.53497648,0.21924500
-3.51449648,0.21924500
-3.49401648,0.21924500
-3.47353648,0.21924500
-3.45305648,0.21924500
-3.43257648,0.21924500
-3.41209648,0.21924500
-3.39161648,0.21924500
-3.37113648,0.21924500
-3.35065648,0.21924500
-3.33017648,0.21924500
-3.30969648,0.21924500
-3.28921648,0.21924500
-3.26873648,0.21924500
-3.24825648,0.21924500
-3.22777648,0.21924500
-3.20729648,0.23700680
-3.18681648,0.21924500
-3.16633648,0.21924500
-3.14585648,0.21924500
-3.12537648,0.21924500
-3.10489648,0.23700680
-3.08441648,0.23700680
-3.06393648,0.21924500
-3.04345648,0.21924500
-3.02297648,0.21924500
-3.00249648,0.21924500
-2.98201648,0.23700680
-2.96153648,0.21924500
-2.94105648,0.23700680
-2.92057648,0.21924500
-2.90009648,0.21924500
-2.87961648,0.21924500
-2.85913648,0.21924500
-2.83865648,0.23700680
-2.81817648,0.25476850
-2.79769648,0.21924500
-2.77721648,0.21924500
-2.75673648,0.21924500
-2.73625648,0.21924500
-2.71577648,0.21924500
-2.69529648,0.21924500
-2.67481648,0.21924500
-2.65433648,0.21924500
-2.63385648,0.21924500
-2.61337648,0.21924500
-2.59289648,0.21924500
-2.57241648,0.21924500
-2.55193648,0.21924500
-2.53145648,0.21924500
-2.51097648,0.21924500
-2.49049648,0.21924500
-2.47001648,0.23700680
-2.44953648,0.21924500
-2.42905648,0.21924500
-2.40857648,0.21924500
-2.38809648,0.21924500
-2.36761648,0.21924500
-2.34713648,0.21924500
-2.32665648,0.23700680
-2.30617648,0.21924500
-2.28569648,0.21924500
-2.26521648,0.21924500
-2.24473648,0.21924500
-2.22425648,0.21924500
-2.20377648,0.21924500
-2.18329648,0.21924500
-2.16281648,0.21924500
-2.14233649,0.21924500
-2.12185649,0.21924500
-2.10137649,0.21924500
-2.08089649,0.21924500
-2.06041649,0.21924500
-2.03993649,0.21924500
-2.01945649,0.21924500
-1.99897649,0.21924500
-1.97849649,0.21924500
-1.95801649,0.21924500
-1.93753649,0.21924500
-1.91705649,0.21924500
-1.89657649,0.21924500
-1.87609649,0.21924500
-1.85561649,0.21924500
-1.83513649,0.21924500
-1.81465649,0.21924500
-1.79417649,0.21924500
